checkpoint name;longitude;latitude
Bus Stop of Bus 69;8.507333224490367;47.40830372291337
AVEC Box;8.506564468873911;47.40795153638827
Fusion North West;8.50730057256942;47.40790939857302
Food Trucks Next to Fusion;8.507933573896935;47.4079960404438
HPZ Door West;8.509945657737944;47.40832821045744
ETH Food Market;8.50957993646034;47.40785539412631
Fusion South East;8.508272646252863;47.40744493757253
ETH Link;8.507761690601683;47.409001400825936
Rice UP;8.508562723852833;47.41029455902517
Coffee Truck;8.507075;47.408369
Loch Ness;8.506452;47.407500
